
ligne,position,substring,pattern,valeur,chiffres,sum
7lxjkqhmxcxsevennhszsbxzdfsonehnsrcfour9,27,onehnsrcfour9,one,1,7 7 1,356
7lxjkqhmxcxsevennhszsbxzdfsonehnsrcfour9,35,four9,four,4,7 7 1 4,356
7lxjkqhmxcxsevennhszsbxzdfsonehnsrcfour9,39,9,9,9,7 7 1 4 9,356
jtpmfoureightvtjmlshbfour6nvjkqnddp3,4,foureightvtjmlshbfour6nvjkqnddp3,four,4,4,435
jtpmfoureightvtjmlshbfour6nvjkqnddp3,8,eightvtjmlshbfour6nvjkqnddp3,eight,8,4 8,435
jtpmfoureightvtjmlshbfour6nvjkqnddp3,21,four6nvjkqnddp3,four,4,4 8 4,435
jtpmfoureightvtjmlshbfour6nvjkqnddp3,25,6nvjkqnddp3,6,6,4 8 4 6,435
jtpmfoureightvtjmlshbfour6nvjkqnddp3,35,3,3,3,4 8 4 6 3,435
twofive2fourfive1dvnrrvjr,0,twofive2fourfive1dvnrrvjr,two,2,2,478
twofive2fourfive1dvnrrvjr,3,five2fourfive1dvnrrvjr,five,5,2 5,478
twofive2fourfive1dvnrrvjr,7,2fourfive1dvnrrvjr,2,2,2 5 2,478
twofive2fourfive1dvnrrvjr,8,fourfive1dvnrrvjr,four,4,2 5 2 4,478
twofive2fourfive1dvnrrvjr,12,five1dvnrrvjr,five,5,2 5 2 4 5,478
twofive2fourfive1dvnrrvjr,16,1dvnrrvjr,1,1,2 5 2 4 5 1,478
twoeightnq6ninepxv,0,twoeightnq6ninepxv,two,2,2,499
twoeightnq6ninepxv,3,eightnq6ninepxv,eight,8,2 8,499
twoeightnq6ninepxv,10,6ninepxv,6,6,2 8 6,499
twoeightnq6ninepxv,11,ninepxv,nine,9,2 8 6 9,499
39sixgphfvninexts71five,0,39sixgphfvninexts71five,3,3,3,528
39sixgphfvninexts71five,1,9sixgphfvninexts71five,9,9,3 9,528
39sixgphfvninexts71five,2,sixgphfvninexts71five,six,6,3 9 6,528
39sixgphfvninexts71five,10,ninexts71five,nine,9,3 9 6 9,528
39sixgphfvninexts71five,17,71five,7,7,3 9 6 9 7,528
39sixgphfvninexts71five,18,1five,1,1,3 9 6 9 7 1,528
39sixgphfvninexts71five,19,five,five,5,3 9 6 9 7 1 5,528
seven3two8,0,seven3two8,seven,7,7,563
seven3two8,5,3two8,3,3,7 3,563
seven3two8,6,two8,two,2,7 3 2,563
seven3two8,9,8,8,8,7 3 2 8,563
six59jhtfvv1five6,0,six59jhtfvv1five6,six,6,6,641
six59jhtfvv1five6,3,59jhtfvv1five6,5,5,6 5,641
six59jhtfvv1five6,4,9jhtfvv1five6,9,9,6 5 9,641
six59jhtfvv1five6,11,1five6,1,1,6 5 9 1,641
six59jhtfvv1five6,12,five6,five,5,6 5 9 1 5,641
six59jhtfvv1five6,16,6,6,6,6 5 9 1 5 6,641
7871three915,0,7871three915,7,7,7,707
7871three915,1,871three915,8,8,7 8,707
7871three915,2,71three915,7,7,7 8 7,707
7871three915,3,1three915,1,1,7 8 7 1,707
7871three915,4,three915,three,3,7 8 7 1 3,707
7871three915,9,915,9,9,7 8 7 1 3 9,707
7871three915,10,15,1,1,7 8 7 1 3 9 1,707
7871three915,11,5,5,5,7 8 7 1 3 9 1 5,707
prrvrjlpgxpjdxfchqonepchqbhqxx9nbrvh,18,onepchqbhqxx9nbrvh,one,1,1,782
prrvrjlpgxpjdxfchqonepchqbhqxx9nbrvh,30,9nbrvh,9,9,1 9,782
gneightwo5txxzpkctwojvrcgbd9,2,eightwo5txxzpkctwojvrcgbd9,eight,8,8,801
gneightwo5txxzpkctwojvrcgbd9,9,5txxzpkctwojvrcgbd9,5,5,8 5,801
gneightwo5txxzpkctwojvrcgbd9,17,twojvrcgbd9,two,2,8 5 2,801
gneightwo5txxzpkctwojvrcgbd9,27,9,9,9,8 5 2 9,801
329,0,329,3,3,3,890
329,1,29,2,2,3 2,890
329,2,9,9,9,3 2 9,890
5mnmpsevenseven,0,5mnmpsevenseven,5,5,5,929
5mnmpsevenseven,5,sevenseven,seven,7,5 7,929
5mnmpsevenseven,10,seven,seven,7,5 7 7,929
ccshz8,5,8,8,8,8,986
threeqthree5eight6blzzh,0,threeqthree5eight6blzzh,three,3,3,1074
threeqthree5eight6blzzh,6,three5eight6blzzh,three,3,3 3,1074
threeqthree5eight6blzzh,11,5eight6blzzh,5,5,3 3 5,1074
threeqthree5eight6blzzh,12,eight6blzzh,eight,8,3 3 5 8,1074
threeqthree5eight6blzzh,17,6blzzh,6,6,3 3 5 8 6,1074
moneight3onepkjskr9,1,oneight3onepkjskr9,one,1,1,1110
moneight3onepkjskr9,8,3onepkjskr9,3,3,1 3,1110
moneight3onepkjskr9,9,onepkjskr9,one,1,1 3 1,1110
moneight3onepkjskr9,18,9,9,9,1 3 1 9,1110
ctdk8zkhzzkt,4,8zkhzzkt,8,8,8,1129
nbfrmvlnmbeightbxs55,10,eightbxs55,eight,8,8,1217
nbfrmvlnmbeightbxs55,18,55,5,5,8 5,1217
nbfrmvlnmbeightbxs55,19,5,5,5,8 5 5,1217
six5mrrvsxqhqj162sevenntsnztmsdbnine,0,six5mrrvsxqhqj162sevenntsnztmsdbnine,six,6,6,1302
six5mrrvsxqhqj162sevenntsnztmsdbnine,3,5mrrvsxqhqj162sevenntsnztmsdbnine,5,5,6 5,1302
six5mrrvsxqhqj162sevenntsnztmsdbnine,14,162sevenntsnztmsdbnine,1,1,6 5 1,1302
six5mrrvsxqhqj162sevenntsnztmsdbnine,15,62sevenntsnztmsdbnine,6,6,6 5 1 6,1302
six5mrrvsxqhqj162sevenntsnztmsdbnine,16,2sevenntsnztmsdbnine,2,2,6 5 1 6 2,1302
six5mrrvsxqhqj162sevenntsnztmsdbnine,17,sevenntsnztmsdbnine,seven,7,6 5 1 6 2 7,1302
six5mrrvsxqhqj162sevenntsnztmsdbnine,32,nine,nine,9,6 5 1 6 2 7 9,1302
78dlfqtsplmnbrtfive3tskrrjnqktrkrfdxps,0,78dlfqtsplmnbrtfive3tskrrjnqktrkrfdxps,7,7,7,1371
78dlfqtsplmnbrtfive3tskrrjnqktrkrfdxps,1,8dlfqtsplmnbrtfive3tskrrjnqktrkrfdxps,8,8,7 8,1371
78dlfqtsplmnbrtfive3tskrrjnqktrkrfdxps,15,five3tskrrjnqktrkrfdxps,five,5,7 8 5,1371
78dlfqtsplmnbrtfive3tskrrjnqktrkrfdxps,19,3tskrrjnqktrkrfdxps,3,3,7 8 5 3,1371
rljhmtwotwo5sevenfourtwo,5,twotwo5sevenfourtwo,two,2,2,1444
rljhmtwotwo5sevenfourtwo,8,two5sevenfourtwo,two,2,2 2,1444
rljhmtwotwo5sevenfourtwo,11,5sevenfourtwo,5,5,2 2 5,1444
rljhmtwotwo5sevenfourtwo,12,sevenfourtwo,seven,7,2 2 5 7,1444
rljhmtwotwo5sevenfourtwo,17,fourtwo,four,4,2 2 5 7 4,1444
rljhmtwotwo5sevenfourtwo,21,two,two,2,2 2 5 7 4 2,1444
6drnzxz9fourfourfourxfxsxhlzqx,0,6drnzxz9fourfourfourxfxsxhlzqx,6,6,6,1466
6drnzxz9fourfourfourxfxsxhlzqx,7,9fourfourfourxfxsxhlzqx,9,9,6 9,1466
6drnzxz9fourfourfourxfxsxhlzqx,8,fourfourfourxfxsxhlzqx,four,4,6 9 4,1466
6drnzxz9fourfourfourxfxsxhlzqx,12,fourfourxfxsxhlzqx,four,4,6 9 4 4,1466
6drnzxz9fourfourfourxfxsxhlzqx,16,fourxfxsxhlzqx,four,4,6 9 4 4 4,1466
7two8dvhghtd,0,7two8dvhghtd,7,7,7,1530
7two8dvhghtd,1,two8dvhghtd,two,2,7 2,1530
7two8dvhghtd,4,8dvhghtd,8,8,7 2 8,1530
five277,0,five277,five,5,5,1608
five277,4,277,2,2,5 2,1608
five277,5,77,7,7,5 2 7,1608
five277,6,7,7,7,5 2 7 7,1608
four7mfhfcpqjjvlxvbs,0,four7mfhfcpqjjvlxvbs,four,4,4,1665
four7mfhfcpqjjvlxvbs,4,7mfhfcpqjjvlxvbs,7,7,4 7,1665
sixhdxxhrzrsjthree2zddffivevzkcppvpshh,0,sixhdxxhrzrsjthree2zddffivevzkcppvpshh,six,6,6,1712
sixhdxxhrzrsjthree2zddffivevzkcppvpshh,13,three2zddffivevzkcppvpshh,three,3,6 3,1712
sixhdxxhrzrsjthree2zddffivevzkcppvpshh,18,2zddffivevzkcppvpshh,2,2,6 3 2,1712
sixhdxxhrzrsjthree2zddffivevzkcppvpshh,23,fivevzkcppvpshh,five,5,6 3 2 5,1712
hnsnbldnp5hdfzqnine,9,5hdfzqnine,5,5,5,1777
hnsnbldnp5hdfzqnine,15,nine,nine,9,5 9,1777
kbdfmgjtfxzszl6fourtwo72eight,14,6fourtwo72eight,6,6,6,1836
kbdfmgjtfxzszl6fourtwo72eight,15,fourtwo72eight,four,4,6 4,1836
kbdfmgjtfxzszl6fourtwo72eight,19,two72eight,two,2,6 4 2,1836
kbdfmgjtfxzszl6fourtwo72eight,22,72eight,7,7,6 4 2 7,1836
kbdfmgjtfxzszl6fourtwo72eight,23,2eight,2,2,6 4 2 7 2,1836
kbdfmgjtfxzszl6fourtwo72eight,24,eight,eight,8,6 4 2 7 2 8,1836
4fourxrtvjh,0,4fourxrtvjh,4,4,4,1904
4fourxrtvjh,1,fourxrtvjh,four,4,4 4,1904
dzbfkvzlg6ngnrsevenzfqmlldc7,9,6ngnrsevenzfqmlldc7,6,6,6,1948
dzbfkvzlg6ngnrsevenzfqmlldc7,14,sevenzfqmlldc7,seven,7,6 7,1948
dzbfkvzlg6ngnrsevenzfqmlldc7,27,7,7,7,6 7 7,1948
eighthg62txtxhkl9,0,eighthg62txtxhkl9,eight,8,8,2015
eighthg62txtxhkl9,7,62txtxhkl9,6,6,8 6,2015
eighthg62txtxhkl9,8,2txtxhkl9,2,2,8 6 2,2015
eighthg62txtxhkl9,16,9,9,9,8 6 2 9,2015
5dckmbonetwolgsixvvftfive,0,5dckmbonetwolgsixvvftfive,5,5,5,2104
5dckmbonetwolgsixvvftfive,6,onetwolgsixvvftfive,one,1,5 1,2104
5dckmbonetwolgsixvvftfive,9,twolgsixvvftfive,two,2,5 1 2,2104
5dckmbonetwolgsixvvftfive,14,sixvvftfive,six,6,5 1 2 6,2104
5dckmbonetwolgsixvvftfive,21,five,five,5,5 1 2 6 5,2104
twordkznxxffour3jgxhl95,0,twordkznxxffour3jgxhl95,two,2,2,2159
twordkznxxffour3jgxhl95,11,four3jgxhl95,four,4,2 4,2159
twordkznxxffour3jgxhl95,15,3jgxhl95,3,3,2 4 3,2159
twordkznxxffour3jgxhl95,21,95,9,9,2 4 3 9,2159
twordkznxxffour3jgxhl95,22,5,5,5,2 4 3 9 5,2159
eightsix4twofoursgdlfkjonefoureight,0,eightsix4twofoursgdlfkjonefoureight,eight,8,8,2184
eightsix4twofoursgdlfkjonefoureight,5,six4twofoursgdlfkjonefoureight,six,6,8 6,2184
eightsix4twofoursgdlfkjonefoureight,8,4twofoursgdlfkjonefoureight,4,4,8 6 4,2184
eightsix4twofoursgdlfkjonefoureight,9,twofoursgdlfkjonefoureight,two,2,8 6 4 2,2184
eightsix4twofoursgdlfkjonefoureight,12,foursgdlfkjonefoureight,four,4,8 6 4 2 4,2184
eightsix4twofoursgdlfkjonefoureight,23,onefoureight,one,1,8 6 4 2 4 1,2184
eightsix4twofoursgdlfkjonefoureight,26,foureight,four,4,8 6 4 2 4 1 4,2184
eightsix4twofoursgdlfkjonefoureight,30,eight,eight,8,8 6 4 2 4 1 4 8,2184
9qlh1ztk9,0,9qlh1ztk9,9,9,9,2272
9qlh1ztk9,4,1ztk9,1,1,9 1,2272
9qlh1ztk9,8,9,9,9,9 1 9,2272
fourrmbrseventwo4pmdmlkp,0,fourrmbrseventwo4pmdmlkp,four,4,4,2371
fourrmbrseventwo4pmdmlkp,8,seventwo4pmdmlkp,seven,7,4 7,2371
fourrmbrseventwo4pmdmlkp,13,two4pmdmlkp,two,2,4 7 2,2371
fourrmbrseventwo4pmdmlkp,16,4pmdmlkp,4,4,4 7 2 4,2371
sevenfive6gbcfslxhkmqlvspvgjgpsrffive22,0,sevenfive6gbcfslxhkmqlvspvgjgpsrffive22,seven,7,7,2415
sevenfive6gbcfslxhkmqlvspvgjgpsrffive22,5,five6gbcfslxhkmqlvspvgjgpsrffive22,five,5,7 5,2415
sevenfive6gbcfslxhkmqlvspvgjgpsrffive22,9,6gbcfslxhkmqlvspvgjgpsrffive22,6,6,7 5 6,2415
sevenfive6gbcfslxhkmqlvspvgjgpsrffive22,33,five22,five,5,7 5 6 5,2415
sevenfive6gbcfslxhkmqlvspvgjgpsrffive22,37,22,2,2,7 5 6 5 2,2415
sevenfive6gbcfslxhkmqlvspvgjgpsrffive22,38,2,2,2,7 5 6 5 2 2,2415
34threejhd9one83,0,34threejhd9one83,3,3,3,2487
34threejhd9one83,1,4threejhd9one83,4,4,3 4,2487
34threejhd9one83,2,threejhd9one83,three,3,3 4 3,2487
34threejhd9one83,10,9one83,9,9,3 4 3 9,2487
34threejhd9one83,11,one83,one,1,3 4 3 9 1,2487
34threejhd9one83,14,83,8,8,3 4 3 9 1 8,2487
34threejhd9one83,15,3,3,3,3 4 3 9 1 8 3,2487
577twomg,0,577twomg,5,5,5,2520
577twomg,1,77twomg,7,7,5 7,2520
577twomg,2,7twomg,7,7,5 7 7,2520
577twomg,3,twomg,two,2,5 7 7 2,2520
threethreezcl9tkhjgqhknrmscpppjnnlnrtrx1,0,threethreezcl9tkhjgqhknrmscpppjnnlnrtrx1,three,3,3,2572
threethreezcl9tkhjgqhknrmscpppjnnlnrtrx1,5,threezcl9tkhjgqhknrmscpppjnnlnrtrx1,three,3,3 3,2572
threethreezcl9tkhjgqhknrmscpppjnnlnrtrx1,13,9tkhjgqhknrmscpppjnnlnrtrx1,9,9,3 3 9,2572
threethreezcl9tkhjgqhknrmscpppjnnlnrtrx1,39,1,1,1,3 3 9 1,2572
tjxtcnxbq1sevensixfhhnfour,9,1sevensixfhhnfour,1,1,1,2603
tjxtcnxbq1sevensixfhhnfour,10,sevensixfhhnfour,seven,7,1 7,2603
tjxtcnxbq1sevensixfhhnfour,15,sixfhhnfour,six,6,1 7 6,2603
tjxtcnxbq1sevensixfhhnfour,22,four,four,4,1 7 6 4,2603
4six3kcnkonegxpfj,0,4six3kcnkonegxpfj,4,4,4,2617
4six3kcnkonegxpfj,1,six3kcnkonegxpfj,six,6,4 6,2617
4six3kcnkonegxpfj,4,3kcnkonegxpfj,3,3,4 6 3,2617
4six3kcnkonegxpfj,9,onegxpfj,one,1,4 6 3 1,2617
knhpcljnjhfive5seveneightck7three,10,five5seveneightck7three,five,5,5,2658
knhpcljnjhfive5seveneightck7three,14,5seveneightck7three,5,5,5 5,2658
knhpcljnjhfive5seveneightck7three,15,seveneightck7three,seven,7,5 5 7,2658
knhpcljnjhfive5seveneightck7three,20,eightck7three,eight,8,5 5 7 8,2658
knhpcljnjhfive5seveneightck7three,27,7three,7,7,5 5 7 8 7,2658
knhpcljnjhfive5seveneightck7three,28,three,three,3,5 5 7 8 7 3,2658
rvrr1,4,1,1,1,1,2711
jjqvphczpqdmszgbqnsevennine81,18,sevennine81,seven,7,7,2722
jjqvphczpqdmszgbqnsevennine81,23,nine81,nine,9,7 9,2722
jjqvphczpqdmszgbqnsevennine81,27,81,8,8,7 9 8,2722
jjqvphczpqdmszgbqnsevennine81,28,1,1,1,7 9 8 1,2722
54568,0,54568,5,5,5,2793
54568,1,4568,4,4,5 4,2793
54568,2,568,5,5,5 4 5,2793
54568,3,68,6,6,5 4 5 6,2793
54568,4,8,8,8,5 4 5 6 8,2793
97zvmkrslhzvvrjgknjsevenfive1four,0,97zvmkrslhzvvrjgknjsevenfive1four,9,9,9,2851
97zvmkrslhzvvrjgknjsevenfive1four,1,7zvmkrslhzvvrjgknjsevenfive1four,7,7,9 7,2851
97zvmkrslhzvvrjgknjsevenfive1four,19,sevenfive1four,seven,7,9 7 7,2851
97zvmkrslhzvvrjgknjsevenfive1four,24,five1four,five,5,9 7 7 5,2851
97zvmkrslhzvvrjgknjsevenfive1four,28,1four,1,1,9 7 7 5 1,2851
97zvmkrslhzvvrjgknjsevenfive1four,29,four,four,4,9 7 7 5 1 4,2851
8onenine4mpfdsixfzhtpz7,0,8onenine4mpfdsixfzhtpz7,8,8,8,2945
8onenine4mpfdsixfzhtpz7,1,onenine4mpfdsixfzhtpz7,one,1,8 1,2945
8onenine4mpfdsixfzhtpz7,4,nine4mpfdsixfzhtpz7,nine,9,8 1 9,2945
8onenine4mpfdsixfzhtpz7,8,4mpfdsixfzhtpz7,4,4,8 1 9 4,2945
8onenine4mpfdsixfzhtpz7,13,sixfzhtpz7,six,6,8 1 9 4 6,2945
8onenine4mpfdsixfzhtpz7,22,7,7,7,8 1 9 4 6 7,2945
rdgjphdxkmmrh6fiver9ninetwojgxpghhp,13,6fiver9ninetwojgxpghhp,6,6,6,3032
rdgjphdxkmmrh6fiver9ninetwojgxpghhp,14,fiver9ninetwojgxpghhp,five,5,6 5,3032
rdgjphdxkmmrh6fiver9ninetwojgxpghhp,19,9ninetwojgxpghhp,9,9,6 5 9,3032
rdgjphdxkmmrh6fiver9ninetwojgxpghhp,20,ninetwojgxpghhp,nine,9,6 5 9 9,3032
rdgjphdxkmmrh6fiver9ninetwojgxpghhp,24,twojgxpghhp,two,2,6 5 9 9 2,3032
gdhk3twonine91zzzmmone4,4,3twonine91zzzmmone4,3,3,3,3094
gdhk3twonine91zzzmmone4,5,twonine91zzzmmone4,two,2,3 2,3094
gdhk3twonine91zzzmmone4,8,nine91zzzmmone4,nine,9,3 2 9,3094
gdhk3twonine91zzzmmone4,12,91zzzmmone4,9,9,3 2 9 9,3094
gdhk3twonine91zzzmmone4,13,1zzzmmone4,1,1,3 2 9 9 1,3094
gdhk3twonine91zzzmmone4,19,one4,one,1,3 2 9 9 1 1,3094
gdhk3twonine91zzzmmone4,22,4,4,4,3 2 9 9 1 1 4,3094
qsxvlxkfnpvdthqteight24nine4,16,eight24nine4,eight,8,8,3128
qsxvlxkfnpvdthqteight24nine4,21,24nine4,2,2,8 2,3128
qsxvlxkfnpvdthqteight24nine4,22,4nine4,4,4,8 2 4,3128
qsxvlxkfnpvdthqteight24nine4,23,nine4,nine,9,8 2 4 9,3128
qsxvlxkfnpvdthqteight24nine4,27,4,4,4,8 2 4 9 4,3128
sixeightthreesixfivevf3qfpvzvnt,0,sixeightthreesixfivevf3qfpvzvnt,six,6,6,3212
sixeightthreesixfivevf3qfpvzvnt,3,eightthreesixfivevf3qfpvzvnt,eight,8,6 8,3212
sixeightthreesixfivevf3qfpvzvnt,8,threesixfivevf3qfpvzvnt,three,3,6 8 3,3212
sixeightthreesixfivevf3qfpvzvnt,13,sixfivevf3qfpvzvnt,six,6,6 8 3 6,3212
sixeightthreesixfivevf3qfpvzvnt,16,fivevf3qfpvzvnt,five,5,6 8 3 6 5,3212
sixeightthreesixfivevf3qfpvzvnt,22,3qfpvzvnt,3,3,6 8 3 6 5 3,3212
five4nkqfcdpqn3fourcqfjjkdnjxf,0,five4nkqfcdpqn3fourcqfjjkdnjxf,five,5,5,3275
five4nkqfcdpqn3fourcqfjjkdnjxf,4,4nkqfcdpqn3fourcqfjjkdnjxf,4,4,5 4,3275
five4nkqfcdpqn3fourcqfjjkdnjxf,14,3fourcqfjjkdnjxf,3,3,5 4 3,3275
five4nkqfcdpqn3fourcqfjjkdnjxf,15,fourcqfjjkdnjxf,four,4,5 4 3 4,3275
xkpmtmhxlxfourvdsjmpsltr1xk7,10,fourvdsjmpsltr1xk7,four,4,4,3329
xkpmtmhxlxfourvdsjmpsltr1xk7,24,1xk7,1,1,4 1,3329
xkpmtmhxlxfourvdsjmpsltr1xk7,27,7,7,7,4 1 7,3329
threezqkb4,0,threezqkb4,three,3,3,3376
threezqkb4,9,4,4,4,3 4,3376
h2ckfnlk,1,2ckfnlk,2,2,2,3410
kzngqxt27fourtwo,7,27fourtwo,2,2,2,3432
kzngqxt27fourtwo,8,7fourtwo,7,7,2 7,3432
kzngqxt27fourtwo,9,fourtwo,four,4,2 7 4,3432
kzngqxt27fourtwo,13,two,two,2,2 7 4 2,3432
lgzhoneeight7fivenineseven5,4,oneeight7fivenineseven5,one,1,1,3454
lgzhoneeight7fivenineseven5,7,eight7fivenineseven5,eight,8,1 8,3454
lgzhoneeight7fivenineseven5,12,7fivenineseven5,7,7,1 8 7,3454
lgzhoneeight7fivenineseven5,13,fivenineseven5,five,5,1 8 7 5,3454
lgzhoneeight7fivenineseven5,17,nineseven5,nine,9,1 8 7 5 9,3454
lgzhoneeight7fivenineseven5,21,seven5,seven,7,1 8 7 5 9 7,3454
lgzhoneeight7fivenineseven5,26,5,5,5,1 8 7 5 9 7 5,3454
2fivesmzgdnsqcm,0,2fivesmzgdnsqcm,2,2,2,3469
2fivesmzgdnsqcm,1,fivesmzgdnsqcm,five,5,2 5,3469
4n442ptkfx,0,4n442ptkfx,4,4,4,3494
4n442ptkfx,2,442ptkfx,4,4,4 4,3494
4n442ptkfx,3,42ptkfx,4,4,4 4 4,3494
4n442ptkfx,4,2ptkfx,2,2,4 4 4 2,3494
sbkdpn2nhdjqc,6,2nhdjqc,2,2,2,3536
bh22eightdqvhpspx,2,22eightdqvhpspx,2,2,2,3558
bh22eightdqvhpspx,3,2eightdqvhpspx,2,2,2 2,3558
bh22eightdqvhpspx,4,eightdqvhpspx,eight,8,2 2 8,3558
hdmdg7kjr4,5,7kjr4,7,7,7,3586
hdmdg7kjr4,9,4,4,4,7 4,3586
three3jttm7fourfourckm7spkhqdtv,0,three3jttm7fourfourckm7spkhqdtv,three,3,3,3660
three3jttm7fourfourckm7spkhqdtv,5,3jttm7fourfourckm7spkhqdtv,3,3,3 3,3660
three3jttm7fourfourckm7spkhqdtv,10,7fourfourckm7spkhqdtv,7,7,3 3 7,3660
three3jttm7fourfourckm7spkhqdtv,11,fourfourckm7spkhqdtv,four,4,3 3 7 4,3660
three3jttm7fourfourckm7spkhqdtv,15,fourckm7spkhqdtv,four,4,3 3 7 4 4,3660
three3jttm7fourfourckm7spkhqdtv,22,7spkhqdtv,7,7,3 3 7 4 4 7,3660
1twoone2911,0,1twoone2911,1,1,1,3697
1twoone2911,1,twoone2911,two,2,1 2,3697
1twoone2911,4,one2911,one,1,1 2 1,3697
1twoone2911,7,2911,2,2,1 2 1 2,3697
1twoone2911,8,911,9,9,1 2 1 2 9,3697
1twoone2911,9,11,1,1,1 2 1 2 9 1,3697
1twoone2911,10,1,1,1,1 2 1 2 9 1 1,3697
dvhmdbjlhfqllkrgnine1ttjvczdsrk5trngnvlnfnone,16,nine1ttjvczdsrk5trngnvlnfnone,nine,9,9,3708
dvhmdbjlhfqllkrgnine1ttjvczdsrk5trngnvlnfnone,20,1ttjvczdsrk5trngnvlnfnone,1,1,9 1,3708
dvhmdbjlhfqllkrgnine1ttjvczdsrk5trngnvlnfnone,31,5trngnvlnfnone,5,5,9 1 5,3708
dvhmdbjlhfqllkrgnine1ttjvczdsrk5trngnvlnfnone,42,one,one,1,9 1 5 1,3708
two3pbdvzqonefour3bzktxlgdeight,0,two3pbdvzqonefour3bzktxlgdeight,two,2,2,3799
two3pbdvzqonefour3bzktxlgdeight,3,3pbdvzqonefour3bzktxlgdeight,3,3,2 3,3799
two3pbdvzqonefour3bzktxlgdeight,10,onefour3bzktxlgdeight,one,1,2 3 1,3799
two3pbdvzqonefour3bzktxlgdeight,13,four3bzktxlgdeight,four,4,2 3 1 4,3799
two3pbdvzqonefour3bzktxlgdeight,17,3bzktxlgdeight,3,3,2 3 1 4 3,3799
two3pbdvzqonefour3bzktxlgdeight,26,eight,eight,8,2 3 1 4 3 8,3799
7eightjcjkqldhpqfrlt9nine,0,7eightjcjkqldhpqfrlt9nine,7,7,7,3827
7eightjcjkqldhpqfrlt9nine,1,eightjcjkqldhpqfrlt9nine,eight,8,7 8,3827
7eightjcjkqldhpqfrlt9nine,20,9nine,9,9,7 8 9,3827
7eightjcjkqldhpqfrlt9nine,21,nine,nine,9,7 8 9 9,3827
2jvdfdcsnnsonejbxqrmhdjthreesix,0,2jvdfdcsnnsonejbxqrmhdjthreesix,2,2,2,3906
2jvdfdcsnnsonejbxqrmhdjthreesix,11,onejbxqrmhdjthreesix,one,1,2 1,3906
2jvdfdcsnnsonejbxqrmhdjthreesix,23,threesix,three,3,2 1 3,3906
2jvdfdcsnnsonejbxqrmhdjthreesix,28,six,six,6,2 1 3 6,3906
7pxbhzglcb283sixnine4,0,7pxbhzglcb283sixnine4,7,7,7,3932
7pxbhzglcb283sixnine4,10,283sixnine4,2,2,7 2,3932
7pxbhzglcb283sixnine4,11,83sixnine4,8,8,7 2 8,3932
7pxbhzglcb283sixnine4,12,3sixnine4,3,3,7 2 8 3,3932
7pxbhzglcb283sixnine4,13,sixnine4,six,6,7 2 8 3 6,3932
7pxbhzglcb283sixnine4,16,nine4,nine,9,7 2 8 3 6 9,3932
